city,district_ar,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details_ar,details
Riyadh,حي العارض,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...","Duplex villa for rent in a very excellent location near Lubna Olayan Compound and the International American School. The villa consists of:



######ground floor######
Front yard and small back yard
council
Spacious hall
Installed kitchen (opens to the hall and courtyard)

######the second floor######
4..."
Riyadh,حي القادسية,Al-Qadisiyah neighborhood,South,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000,"*** فيلا درج مع الصالة جديدة ***

عبارة عن مدخل سيارة و مشب و مجلس و مقلط و ٢ صالة و مطبخ ومستودع و ٤ غرف نوم منها واحدة ماستر و غرفة خادمة و٥ دورات مياه وغرفة غسيل وسطح 

التواصل عن طريق الواتساب 0537525709","*** New villa with stairs and hall ***

It consists of a car entrance, a grill, a sitting area, a living room, 2 lounges, a kitchen, a warehouse, 4 bedrooms, including one master, a maid’s room, 5 bathrooms, a laundry room, and a rooftop. 

Contact via WhatsApp 0537525709"
Riyadh,حي القادسية,Al-Qadisiyah neighborhood,South,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000,فيلا للايجار درج داخلي مشب خارجي مجلس مقلط وصاله غرف كبار سن مجلس نساء فوق ٤غرف نوم الدور الثالث غرفه شغاله مع السطح السعر ستون الف ريال قابل للتفاوض +شقه للايجار ٣غرف وصاله به السطح خاص الايجار دفعتين 20000الف للاستفسار الرجاء التواصل مع الاخ ابوعبد...,"Villa for rent, internal staircase, outdoor grill, mixed board and hall, rooms for the elderly, women’s hall above 4 bedrooms, third floor, occupant room with roof, price is sixty thousand riyals, negotiable + apartment for rent, 3 rooms and hall, with private roof, rent in two payments of 20,000 thousand. For inquiries, please contact brother Abu Abd..."
Riyadh,حي المعيزلة,Al-Maizla neighborhood,West,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000,"فيلا للايجار        جديده لن تستخدم          شارع 20



تتكون من     من مجلس مشب  ومقلط وصاله  وغرفه ومطبخ  و٢ دوره مياه 

درج فوق  ٢ غرفه ماستر  و٢ غرفه وصاله و٣دوره مياه 
سطح غرفه شغاله ودوره مياه 
وبتوفيق للجميع .

وتساب 0553216330","New villa for rent, not to be used, Street 20



It consists of a sitting room, a fireplace, a hall, a room, a kitchen, and 2 bathrooms 

Stairs above 2 master rooms, 2 rooms, a hall, and 3 bathrooms 
Surface of a working room and a bathroom 
Good luck to everyone.

WhatsApp 0553216330"
Riyadh,حي العليا,Olaya district,West,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000,"فيلا للايجار حي العليا 

الارضي مجالس وغرفتين ومطبخ دورتين مياه 
العلوي 
غرف نوم وصاله 

للاستفسار ابو احمد 
0533332881","Villa for rent, Olaya district 

The ground floor has sitting rooms, two rooms, a kitchen, and two bathrooms 
upper 
Bedrooms and living room 

For inquiries, Abu Ahmed 
0533332881"
Riyadh,حي الازدهار,Al-Izdihar neighborhood,East,250,25,5,4,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,45000,"الفيلا في حي الازدهار 
تتكون من مجلس رجال في الحوش مع دورة مياه
الدور الارضي يتكون من صاله ومجلس نساء ومطبخ ودورة مياه
الدور الاول غرفتين نوم فقط بدورة مياه
السطح غرفة خادمة بدورة مياه
تصلح لعائلة صغيرة ...
ملاحظه// إذا كان دفع الإيجار مقدماً يكون ب ...","The villa is in Al Izdihar neighborhood 
It consists of a men's living room in the courtyard with a bathroom
The ground floor consists of a hall, a women's sitting room, a kitchen, and a bathroom
The first floor has only two bedrooms and a bathroom
The roof is a maid's room with a bathroom
Suitable for a small family...
Note // If the rent is paid in advance, it will be..."
Riyadh,حي المهدية,Mahdia neighborhood,North,250,0,5,5,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,45000,"دبلكس مساحه ٢٥٠
حي المهديه
دفع كل ٦ شهور","Duplex area 250
Mahdia neighborhood
Payment every 6 months"
Riyadh,حي العارض,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...","Duplex villa for rent in a very excellent location near Lubna Olayan Compound and the International American School. The villa consists of:



######ground floor######
Front yard and small back yard
council
Spacious hall
Installed kitchen (opens to the hall and courtyard)

######the second floor######
4..."
Riyadh,حي الحزم,Al-Hazm neighborhood,Southern East,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000,فيلا دبكلوكس علي شارعين قريب من الجامع والخدمات حي هادى,"Duplex villa on two streets, close to the mosque and services, in a quiet neighborhood"
Riyadh,حي العليا,Olaya district,Southern West,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000,"New house for rent 150.000SR
New 
0500069102
New
4 bedrooms
4 bahrooms
4 livingrooms
Kitchen
Garage
No roof
New
0500069102

بيت بناء جديد دورين بدون سطح 
150.000 ريال","New house for rent 150,000SR
New 
0500069102
New
4 bedrooms
4 bahrooms
4 livingrooms
Kitchen
Garage
No roof
New
0500069102

New construction house, two floors without roof 
150,000 riyals"
